Current Configuration: {'resume': '', 'sched_type': None, 'batch_size': 512, 'base_lr': 0.05, 'wd': 0.0001, 'lambda': 0.005, 'epochs': 600, 'init_lr': 0.1}
Epoch: 0, Loss: 9853.393732802671, Cur LR: 0.1
Epoch: 1, Loss: 9436.576804490958, Cur LR: 0.1
Epoch: 2, Loss: 9458.00867850826, Cur LR: 0.1
Epoch: 3, Loss: 9408.112808323509, Cur LR: 0.1
Epoch: 4, Loss: 9344.443985849053, Cur LR: 0.1
Epoch: 5, Loss: 9373.674147503922, Cur LR: 0.1
Epoch: 6, Loss: 9345.301905218166, Cur LR: 0.1
Epoch: 7, Loss: 9326.821706711871, Cur LR: 0.1
Epoch: 8, Loss: 9419.014378193782, Cur LR: 0.1
Epoch: 9, Loss: 9349.40377481329, Cur LR: 0.1
Epoch: 10, Loss: 9334.992813974059, Cur LR: 0.1
Epoch: 11, Loss: 9311.631479707154, Cur LR: 0.1
Epoch: 12, Loss: 9357.648824439859, Cur LR: 0.1
Epoch: 13, Loss: 9307.000540487421, Cur LR: 0.1
Epoch: 14, Loss: 9453.932488207545, Cur LR: 0.1
Epoch: 15, Loss: 9349.502186517298, Cur LR: 0.1
Epoch: 16, Loss: 9277.21509556801, Cur LR: 0.1
Epoch: 17, Loss: 9354.516890231915, Cur LR: 0.1
Epoch: 18, Loss: 9281.945367777127, Cur LR: 0.1
Epoch: 19, Loss: 9541.9982802673, Cur LR: 0.1
Epoch: 20, Loss: 9375.42104584316, Cur LR: 0.1
Epoch: 21, Loss: 9446.170032429241, Cur LR: 0.1
Epoch: 22, Loss: 9350.935123083726, Cur LR: 0.1
Epoch: 23, Loss: 9484.16689391706, Cur LR: 0.1
Epoch: 24, Loss: 9364.397921580192, Cur LR: 0.1
Epoch: 25, Loss: 9415.34919786753, Cur LR: 0.1
Epoch: 26, Loss: 9344.15176641116, Cur LR: 0.1
Epoch: 27, Loss: 9330.215316676495, Cur LR: 0.1
Epoch: 28, Loss: 9339.229080680032, Cur LR: 0.1
Epoch: 29, Loss: 9358.492193641896, Cur LR: 0.1
Epoch: 30, Loss: 9304.739884286555, Cur LR: 0.1
Epoch: 31, Loss: 9399.19900992531, Cur LR: 0.1
Epoch: 32, Loss: 9412.48668435534, Cur LR: 0.1
Epoch: 33, Loss: 9324.160248378534, Cur LR: 0.1
Epoch: 34, Loss: 9322.787041814068, Cur LR: 0.1
Epoch: 35, Loss: 9373.757321147805, Cur LR: 0.1
Epoch: 36, Loss: 9379.468178803065, Cur LR: 0.1
Epoch: 37, Loss: 9429.573027220906, Cur LR: 0.1
Epoch: 38, Loss: 9326.835016214618, Cur LR: 0.1
Epoch: 39, Loss: 9338.860775353773, Cur LR: 0.1
Epoch: 40, Loss: 9307.620534836877, Cur LR: 0.1
Epoch: 41, Loss: 9460.722914209899, Cur LR: 0.1
Epoch: 42, Loss: 9447.623102152123, Cur LR: 0.1
Epoch: 43, Loss: 9392.714493661557, Cur LR: 0.1
Epoch: 44, Loss: 9303.881700815642, Cur LR: 0.1
Epoch: 45, Loss: 9436.126062549132, Cur LR: 0.1
Epoch: 46, Loss: 9284.889341342374, Cur LR: 0.1
Epoch: 47, Loss: 9256.1484375, Cur LR: 0.1
Epoch: 48, Loss: 9193.971053213447, Cur LR: 0.1
Epoch: 49, Loss: 9208.925124066429, Cur LR: 0.1
Epoch: 50, Loss: 9218.284179687504, Cur LR: 0.1
Epoch: 51, Loss: 9213.215605345908, Cur LR: 0.1
Epoch: 52, Loss: 9407.322935092374, Cur LR: 0.1
Epoch: 53, Loss: 9330.375411507472, Cur LR: 0.1
Epoch: 54, Loss: 9309.669590212265, Cur LR: 0.1
Epoch: 55, Loss: 9317.50641214622, Cur LR: 0.1
Epoch: 56, Loss: 9267.117752555032, Cur LR: 0.1
